iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,median_age,aged_65_older,aged_70_older
ABW,Aruba,2020-04-30,100,0,2,0,936.628,0.0,18.733,0.0,,,,,,41.2,13.085,7.452
AFG,Afghanistan,2020-04-30,1949,122,60,0,50.066,3.134,1.541,0.0,,,,,,18.6,2.581,1.337
AGO,Angola,2020-04-30,27,0,2,0,0.822,0.0,0.061,0.0,,,,,,16.8,2.405,1.362
AIA,Anguilla,2020-04-30,3,0,0,0,199.973,0.0,0.0,0.0,,,,,,,,
ALB,Albania,2020-04-30,766,16,31,1,266.176,5.56,10.772,0.347,,,,,,38.0,13.188,8.643
AND,Andorra,2020-04-30,753,5,42,1,9745.68,64.712,543.584,12.942,,,,,,,,
ARE,United Arab Emirates,2020-04-30,11929,549,98,9,1206.119,55.508,9.909,0.91,,,,,,34.0,1.144,0.526
ARG,Argentina,2020-04-30,4272,158,214,7,94.522,3.496,4.735,0.155,,,,,,31.9,11.198,7.441
ARM,Armenia,2020-04-30,1932,0,30,0,651.99,0.0,10.124,0.0,,,,,,35.7,11.232,7.571
ATG,Antigua and Barbuda,2020-04-30,24,0,3,0,245.078,0.0,30.635,0.0,,,,,,32.1,6.933,4.631
AUS,Australia,2020-04-30,6746,8,90,2,264.55,0.314,3.529,0.078,,,22.104,0.754,tests performed,37.9,15.504,10.129
AUT,Austria,2020-04-30,15364,50,580,11,1705.898,5.552,64.399,1.221,,,28.469,0.96,tests performed,44.4,19.202,13.748
AZE,Azerbaijan,2020-04-30,1766,49,23,1,174.176,4.833,2.268,0.099,,,,,,32.4,6.018,3.871
BDI,Burundi,2020-04-30,15,0,1,0,1.261,0.0,0.084,0.0,,,,,,17.5,2.562,1.504
BEL,Belgium,2020-04-30,47859,525,7501,170,4129.472,45.299,647.217,14.668,,,,,,41.8,18.571,12.849
